Data Responden,Bisakah anda membedakan ms office dengan libre office?,Mampukah anda membuat laporan (dokumen/presentasi) menggunakan libre office?,Menurut anda Microsoft powerpoint bisa memasukkan gambar/video?,Apakah bisa menggunakan simbol matematika di microsoft excel?,Apakah microsoft office sangat menunjang pendidikan di kampus?,Apakah anda sering menggunakan microsoft office?,Seberapa familiar anda menggunakan ms office?,Bisakah anda membedakan antara file docx dan odt?
Responden 1,5,3,5,2,1,5,2,3
Responden 2,4,3,5,4,5,4,4,3
Responden 3,3,2,3,4,5,3,2,2
Responden 4,4,3,4,5,5,5,4,3
Responden 5,5,4,4,4,5,5,4,4
Responden 6,4,5,5,5,5,4,4,4
Responden 7,5,5,4,3,5,5,5,3
Responden 8,5,3,5,5,5,5,5,4
Responden 9,3,4,5,4,5,5,4,3
Responden 10,5,4,3,5,5,4,4,5
Responden 11,5,5,3,5,4,5,5,5
Responden 12,2,3,5,5,5,5,5,3
Responden 13,3,4,4,4,5,4,4,3
Responden 14,5,5,5,5,5,5,5,5
Responden 15,3,4,5,5,4,4,5,4
Responden 16,4,4,5,5,5,5,5,4
Responden 17,4,3,5,5,5,5,5,3
Responden 18,4,4,5,5,5,5,4,4
Responden 19,3,4,5,5,4,4,4,4
Responden 20,3,3,5,4,5,5,5,3
Responden 21,4,4,5,5,5,4,4,3
Responden 22,5,4,5,4,5,5,5,4
Responden 23,4,3,5,3,5,5,5,5
Responden 24,5,2,4,3,3,5,5,5
Responden 25,4,5,5,5,4,5,3,3
Responden 26,3,3,5,4,5,5,5,5
Responden 27,5,5,5,5,3,3,3,3
Responden 28,4,4,4,4,4,4,4,4
Responden 29,5,3,4,5,4,5,4,3
Responden 30,3,2,4,2,5,4,3,3
Responden 31,4,4,5,5,4,4,4,5
Responden 32,5,3,4,4,5,5,5,4
Responden 33,4,4,5,5,5,5,4,5
Responden 34,5,2,5,2,5,5,5,5
Responden 35,4,4,4,4,5,4,5,4
Responden 36,4,2,5,5,5,5,5,3
Responden 37,3,2,5,5,5,5,5,2
Responden 38,4,4,5,5,5,4,4,4
Responden 39,3,3,5,5,4,5,5,4
Responden 40,4,3,5,4,4,4,4,3
Responden 41,4,3,5,5,5,5,4,4
Responden 42,1,1,5,5,5,4,5,3
Responden 43,2,3,5,5,5,5,5,4
Responden 44,4,2,5,4,5,5,5,3
Responden 45,4,4,5,5,4,4,5,4
Responden 46,4,4,5,5,5,4,5,4
Responden 47,3,3,5,5,3,5,4,4
Responden 48,4,3,5,5,5,5,5,4
Responden 49,3,3,5,5,4,4,4,3
